Elapsed.time   CPU     Real.mem   Virtual.mem
    6207.980       99.900    11422.727    16571.051
    6208.981       99.900    11422.727    16571.051
    6209.982       99.900    11422.727    16571.051
    6210.983       99.900    11422.727    16571.051
    6211.983      100.900    11422.727    16571.051
    6212.984       99.900    11422.727    16571.051
    6213.986       99.900    11422.727    16571.051
    6214.986      105.900    11422.727    16571.051
    6215.988      115.900    11422.727    16571.051
    6216.989       99.900    11422.727    16571.051
    6217.990      100.900    11422.727    16571.051
    6218.991       99.900    11422.727    16571.051
    6219.992       99.900    11422.727    16571.051
    6220.993       99.900    11422.727    16571.051
    6221.993       99.900    11422.727    16571.051
    6222.995       99.900    11422.727    16571.051
    6223.995       99.900    11422.727    16571.051
    6224.997       99.900    11422.727    16571.051
    6225.997       99.900    11422.727    16571.051
    6226.998      112.900    11422.727    16571.051
    6228.000      110.900    11422.727    16571.051
    6229.001       99.900    11422.727    16571.051
    6230.002       99.900    11422.727    16571.051
    6231.002       99.900    11422.727    16571.051
    6232.003       99.900    11422.727    16571.051
    6233.004      100.900    11422.727    16571.051
    6234.005       99.900    11422.727    16571.051
    6235.007       99.900    11422.727    16571.051
    6236.008       99.900    11422.727    16571.051
    6237.010       99.900    11422.727    16571.051
    6238.011       99.900    11422.727    16571.051
    6239.011      110.900    11422.727    16571.051
    6240.013      110.900    11422.727    16571.051
    6241.014      100.900    11422.727    16571.051
    6242.014       99.900    11422.727    16571.051
    6243.015       99.900    11422.727    16571.051
    6244.016       99.900    11422.727    16571.051
    6245.018       99.900    11422.727    16571.051
    6246.019       99.900    11422.727    16571.051
    6247.019       99.900    11422.727    16571.051
    6248.020       99.900    11422.727    16571.051
    6249.021       99.900    11422.727    16571.051
    6250.023       99.900    11422.727    16571.051
    6251.023      117.900    11422.727    16571.051
    6252.024      104.900    11422.727    16571.051
    6253.026       99.900    11422.727    16571.051
    6254.026       99.900    11422.727    16571.051
    6255.028       99.900    11422.727    16571.051
    6256.028       99.900    11422.727    16571.051
    6257.029       99.900    11422.727    16571.051
    6258.030       99.900    11422.727    16571.051
    6259.032      100.800    11422.727    16571.051
    6260.033       99.900    11422.727    16571.051
    6261.035       99.900    11422.727    16571.051
    6262.035       99.900    11422.727    16571.051
    6263.036      123.800    11422.727    16571.051
    6264.037       99.900    11422.852    16571.051
    6265.038       99.900    11422.852    16571.051
    6266.040      100.900    11422.852    16571.051
    6267.042       99.900    11422.852    16571.051
    6268.043       99.900    11422.852    16571.051
    6269.044       99.900    11422.852    16571.051
    6270.045       99.900    11422.852    16571.051
    6271.045       99.900    11422.852    16571.051
    6272.046       99.900    11422.852    16571.051
    6273.048       99.900    11422.852    16571.051
    6274.050       99.800    11422.852    16571.051
    6275.050      127.900    11422.852    16571.051
    6276.051      137.800    11422.852    16571.051
    6277.052      139.900    11422.977    16571.051
    6278.054      115.800    11539.840    16687.949
    6279.055       99.900    11423.840    16571.051
    6280.056      169.800    11731.023    16877.598
    6281.057      129.900    11426.293    16571.051
    6282.058      267.700     9511.238    14650.789
    6283.059      171.800     9516.430    14746.852
    6284.062      709.800    10017.520    16353.988
    6285.066      751.100    10084.133    22203.551
    6286.067      239.800     9565.875    14682.805
    6287.069      437.200     9565.875    14682.805
    6288.070      429.400     9565.875    14682.805
    6289.072      363.300     9565.875    14682.805
    6290.073      485.400     9565.875    14682.805
    6291.074      365.700     9565.875    14682.805
    6292.079      403.900     9565.875    14682.805
    6293.080      438.700     9565.875    14682.805
    6294.081      434.600     9565.875    14682.805
    6295.082      362.600     9565.875    14682.805
    6296.084      434.400     9565.875    14682.805
    6297.085      369.800     9565.875    14682.805
    6298.086      425.600     9565.875    14682.805
